,address,description
0,"улица Дениса Давыдова, д.1/3, Новосибирск","Гостиничный Комплекс 55 Широта по адресу улица Дениса Давыдова, д.1/3, Новосибирск. Минимальная стоимость в отеле 'Гостиничный Комплекс 55 Широта' за ночь: от 3000₽"
1,"улица Победы, д.55, Новосибирск","Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka по адресу улица Победы, д.55, Новосибирск. Минимальная стоимость в отеле 'Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka' за ночь: от 5351₽"
2,"микрорайон Северный, д.1/1, Бердск","Мини-отель Роял Марин по адресу микрорайон Северный, д.1/1, Бердск. Минимальная стоимость в отеле 'Мини-отель Роял Марин' за ночь: от 3466₽"
3,"Вокзальная магистраль, д. 6, Новосибирск","Хостел Why not Hostel Novosibirsk по адресу Вокзальная магистраль, д. 6, Новосибирск. Минимальная стоимость в отеле 'Хостел Why not Hostel Novosibirsk' за ночь: от 1961₽"
4,"улица Блюхера, д.24, Новосибирск","Хостел City по адресу улица Блюхера, д.24, Новосибирск. Минимальная стоимость в отеле 'Хостел City' за ночь: от 1300₽"
5,"улица Ленина, д.26, Новосибирск","Отель Домина Новосибирск по адресу улица Ленина, д.26, Новосибирск. Минимальная стоимость в отеле 'Отель Домина Новосибирск' за ночь: от 7100₽"
6,"улица Карла Маркса, д.100, Барабинск","Мини-отель Ной по адресу улица Карла Маркса, д.100, Барабинск. Минимальная стоимость в отеле 'Мини-отель Ной' за ночь: от 3403₽"
7,"ул. Элеваторская, д 50, Купино","Лель Купино по адресу ул. Элеваторская, д 50, Купино. Минимальная стоимость в отеле 'Лель Купино' за ночь: от 1786₽"
8,"д.п. Мочище м-н дом отдыха Мочище 4, Новосибирск, Новосибирская обл., Россия, 630534, Новосибирск","Парк-Отель Чкаловские дачи по адресу д.п. Мочище м-н дом отдыха Мочище 4, Новосибирск, Новосибирская обл., Россия, 630534, Новосибирск. Минимальная стоимость в отеле 'Парк-Отель Чкаловские дачи' за ночь: от 5936₽"
9,"Академгородок, ул. Жемчужная, 32","Welcome (Вэлком) на улице Жемчужная 32 по адресу Академгородок, ул. Жемчужная, 32. Минимальная стоимость в отеле 'Welcome (Вэлком) на улице Жемчужная 32' за ночь: от 4675₽"
10,"улица Орджоникидзе, 31, Новосибирск","Отель Гранд Автограф (бывший Марриотт) по адресу улица Орджоникидзе, 31, Новосибирск. Минимальная стоимость в отеле 'Отель Гранд Автограф (бывший Марриотт)' за ночь: от 10485₽"
