,name,uri,address,description,rating,latitude,longitude,restaurant_type,work_time,average_bill,cuisine
0,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-350671/,"пр. Энергетиков, 8, гипермаркет «Гигант»",,0.0,55.009151,82.877213,Ресторан,пн-вс 9.00–0.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
1,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-350672/,"Кутателадзе, 4/4, 3 этаж",,0.0,54.859364,83.1032415,Ресторан,пн-вс 10.00–0.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
2,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-375385/,"Троллейная, 130б",,0.0,54.964742,82.852729,Ресторан,пн-вс 8.00–0.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
3,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-407583/,"Курчатова, 1, ТРК «Голден-парк»",,0.0,55.1041262,82.9608367,Ресторан,пн-вс 10.00–22.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
4,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-411006/,"Бердское ш., 277, ТЦ «Гигант»",,0.0,54.8472724,83.0632474,Ресторан,пн-вс 9.00–23.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
5,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-457967/,"просп. Дзержинского, 2, ТЦ «Холидей Family»",,0.0,55.043999,82.9535284,Ресторан,пн-вс 8.00–23.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
6,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-457968/,"Челюскинцев, 52",,0.0,55.0414518,82.9126822,Ресторан,пн-вс 9.00–0.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
7,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-480904/,"пр. Энергетиков, 9",,0.0,55.0090017,82.8774276,Ресторан,пн-вс 10.00–0.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
8,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-482771/,"Сибиряков-Гвардейцев, 62",,0.0,54.9393385,82.8963506,Ресторан,пн-вс 9.00–0.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
9,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-486564/,"Военная, 7/1",,0.0,55.0271251,82.9384831,Ресторан,пн-вс 8.00–0.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
10,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-486565/,"Станиславского, 40/1",,0.0,54.9688139,82.8727829,Ресторан,пн-вс 9.00–23.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
11,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-489423/,"​Большевистская, 12/1",,0.0,55.007914,82.9360311,Ресторан,пн-вс 9.00–23.00,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
