,name,address,price_per_night
0,Гостиничный Комплекс 55 Широта,"улица Дениса Давыдова, д.1/3, Новосибирск",от 3000₽
1,AHOTELS Design Style Толстого,"Улица Толстого, д.56, Новосибирск",от 2614₽
2,Апарт-отель Apartel,"Железнодорожная улица, д.15/1, Новосибирск",от 2721₽
3,Гостиница Комфорт_Нск,"Улица Богдана Хмельницкого, д.96, Новосибирск",от 4150₽
4,Отель ESENIN-LocuS,"улица Есенина, д.5/1, Новосибирск",от 2700₽
5,Отель Глобус,"улица Лермонтова, д. 43, корп. 1, Новосибирск",от 3506₽
6,Хостел Рус-Новосибирск,"улица Куприна, д.8/1, Новосибирск",от 1677₽
7,Отель Император,"улица Романова, д.99, Новосибирск",от 2814₽
8,Отель Клуб Путешественников,"улица Фрунзе 2А, Новосибирск",от 2152₽
9,No Bears (Ноу Беарс),"ул. Дмитрия Шамшурина, 1, Новосибирск",от 2260₽
10,Апарт-Отель OAZIS APART,"улица Лескова, д.25, Новосибирск",от 2950₽
11,Отель Метелица,"улица Добролюбова, д.195, Новосибирск",от 5750₽
12,Отель Перекресток,"Фабричная улица, 4/1, Новосибирск",от 3322₽
13,Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka,"улица Победы, д.55, Новосибирск",от 5351₽
14,Отель Tolstogo City,"улица Толстого, д.77, Новосибирск",от 3400₽
15,Аврора,"ул. Панфиловцев, д. 53, Новосибирск",от 2396₽
16,Мини-отель ЕВРОСАУНА,"улица Мира, д.63А, корп.4, Новосибирск",от 2476₽
17,Лель,"ул. Кутузова, д.69, Карасук",от 1600₽
18,Мини-отель Мадо,"улица Светлановская, д. 8, Новосибирск",от 2627₽
19,Диван и чемодан на Ленина,"ул. Ленина, 79, Новосибирск",от 2051₽
20,Отель Хлебный год,"Советское шоссе, д.7, Новосибирск",от 4282₽
21,Гостевой Дом Маяк,"улица Плотинная, д.1/1, Новосибирск",от 4145₽
22,Гостиница Золотое Руно,"улица Зыряновская, д.55, Новосибирск",от 4510₽
23,Мини-отель Роял Марин,"микрорайон Северный, д.1/1, Бердск",от 3466₽
24,Квартиры Sibkvart Добролюбова 18/1,"улица Добролюбова, д.18/1, Новосибирск",от 3341₽
25,Хостел Why not Hostel Novosibirsk,"Вокзальная магистраль, д. 6, Новосибирск",от 1961₽
26,Отель Акватория,"Улица Ватутина, д. 16/1, Новосибирск",от 2192₽
27,Отель Авеню,"улица Советская, д.57, Новосибирск",от 2327₽
28,Хостел City,"улица Блюхера, д.24, Новосибирск",от 1300₽
29,Отель Домина Новосибирск,"улица Ленина, д.26, Новосибирск",от 7100₽
30,Апарт-отель Гостиниц net (Ядринцевская),"ул. Ядринцевская 71, Новосибирск, Новосибирск",от 3010₽
31,Отель Колибри,"Улица Чаплыгина, д.111, Новосибирск",от 4330₽
32,Мини-Отель на Артиллерийской,"улица Артиллерийская, д.97, Новосибирск",от 2600₽
33,Апарт-отель Неорелакс Апарт,"улица Чаплыгина 48, Новосибирск",от 1732₽
34,Отель Happy Family,"улица Артиллерийская, д.19, Новосибирск",от 3406₽
35,Отель Сити Отель,"улица Блюхера, д. 77, Новосибирск",от 3342₽
36,Отель Park Wood Академгородок,"улица Арбузова, д.6/2, Новосибирск",от 5773₽
37,Хостел «Планета»,"ул. Владимировская, 4, Новосибирск",от 2260₽
38,Хостел Роял,"улица Дуси Ковальчук, д.260/2, Новосибирск",от 1386₽
39,Гостевой Дом Sky Lounge guesthouse,"улица Кропоткина 273, Новосибирск",от 2366₽
40,Хостел Sunny Day,"улица Урицкого, д.37, Новосибирск",от 2079₽
41,Отель Valeri,"Серебренниковская улица, д. 2/1, Новосибирск",от 1893₽
42,Отель Золотая Долина,"улица Ильича, д.10, Новосибирск",от 4101₽
43,Матросово,"ул. Береговая, дом 215, Искитим",от 6783₽
44,Мини-отель Ной,"улица Карла Маркса, д.100, Барабинск",от 3403₽
45,Хостел Плюшевый Мишка,"улица Разъездная, д.12, Новосибирск",от 2260₽
46,Жилое помещение на Немировича,"улица Немировича-Данченко, д. 146/1, Новосибирск",от 2310₽
47,Room Apart (Рум Апарт) на улице Ясный берег,"ул. Ясный берег, 23, Новосибирск",от 3062₽
48,Гостевой Дом,"Новосибирская обл, г Обь, ул Вокзальная, д. 90, Обь",от 1782₽
49,"Гранд-отель, Новосибирск","ул. Забалуева, 5/1, Новосибирск",от 2778₽
50,Мини-отель Summer delight,"улица Дачная, д.40/2, Новосибирск",от 2236₽
51,Лель Купино,"ул. Элеваторская, д 50, Купино",от 1786₽
52,Солнечный,"ул. Софийская 15,А, Новосибирск",от 4700₽
53,Апарт-отель на Набережной,"улица Большевистская, д. 37, Новосибирск",от 2958₽
54,Диван и чемодан на Серафимовича,"ул. Серафимовича, 1/4/, Новосибирск",от 1946₽
55,Yousinn (Юсинн) на улице Одоевского 1/11,"ул. Одоевского, 1/11, Новосибирск",от 2388₽
56,Жилое помещение Светлица 54,"улица Крылова, д.69А, Новосибирск",от 2506₽
57,Диван и чемодан на Галущака 17,"ул. Галущака, 17, Новосибирск",от 2190₽
58,Диван и чемодан на Коммунистической,"ул. Коммунистическая, 26, Новосибирск",от 2051₽
59,Yousinn (Юсинн) на улице Выборной 89/4,"ул. Выборная, 89/4, Новосибирск",от 3143₽
60,Парк-Отель Чкаловские дачи,"д.п. Мочище м-н дом отдыха Мочище 4, Новосибирск, Новосибирская обл., Россия, 630534, Новосибирск",от 5936₽
61,Диван и чемодан на Карла Маркса,"пр-кт Карла Маркса, 14/1, ст.1, Новосибирск",от 1957₽
62,Хостел Атмосфера,"улица Залесского, 2/2, Новосибирск",от 2260₽
63,Квартиры Sibkvart Некрасова 41,"улица Некрасова, д.41, Новосибирск",от 2830₽
64,В гости на улице Ленина 81,"ул. Ленина, 81, Новосибирск",от 3690₽
65,Welcome (Вэлком) на улице Иванова,"ул. Иванова, 8, Новосибирск",от 3300₽
66,Мини-Отель Мира-ЛокуС,"улица Мира, 63Ак7, Новосибирск",от 1770₽
67,Room Apart (Рум Апарт) на улице Дмитрия Шамшурина,"ул. Дмитрия Шамшурина, 29, Новосибирск",от 3354₽
68,Авеню,"ул. Боровая 4/2, Бердск",от 3889₽
69,Хостел Bueno,"улица Максима Горького,д. 53, Новосибирск",от 1961₽
70,FlaNsk (ФлаНск) на Кошурникова,"ул. Кошурникова, 23, Новосибирск",от 3416₽
71,Как дома. Левый берег на Карла Маркса,"пр. К.Маркса, 7, Новосибирск",от 1860₽
72,Отель Нептун Татарск,"улица Закриевского, д. 72, Татарск",от 1654₽
