,category,name,uri,address,description,work_time
0,Оздоровление и лечение,Краснозерский санаторий,https://trip2sib.ru/putevoditel/krasnozerskiy/,"Новосибирская область, Краснозерский район, Кайгородский сельсовет, ул. Санаторий, 1","Санаторий «Краснозерский» — уникальный грязелечебный комплекс санаторно-курортного лечения и медицинской реабилитации. Лечебный процесс построен на широком применении природных факторов: сульфидно-иловой грязи; рапы (озерной соли); желтой и голубой глины;климата. В санатории лечат заболевания:опорно-двигательного аппарата;мочеполовой системы;кожные;нервной системы;ЛОР-органов;сопутствующие заболевания.К услугам гостей:проживание в уютных номерах разного уровня комфорта (во всех номерах есть Wi-Fi);сбалансированное питание из натуральных продуктов;бассейн;катание на лошадях;аренда беседок;летний отдых: велосипеды, ролики, бадминтон, волейбол, скандинавская ходьба, самокат, батут;зимний отдых: скандинавская ходьба, санки, ватрушки/ледянки, лыжи, коньки, снегоход",круглосуточно
1,Оздоровление и лечение,Санаторий «Озеро Карачи»,https://trip2sib.ru/putevoditel/ozero-karachi/,"Новосибирская область, Чановский район, к. п. Озеро-Карачи, ул. Школьная, 1","Уникальность курорта — в природных лечебных факторах, собранных в одном месте: сульфидно-иловая грязь и рапа озера Карачи, минеральная вода 'Карачинская', йодобромная минеральная вода и благоприятные ландшафтно-климатические условия. Посетителям предлагаются 162 вида лечебных и 30 видов диагностических процедур, такие как грязевое и бальнеолечение, водолечение, различные виды массажа, спелеотерапия, гирудотерапия, УЗИ-диагностика и многое другое. К услугам гостей:комфортные номера категорий «Люкс», «Джуниор сюит», «Джуниор сюит» twin, 1 категории double улучшенный, 1 категории double, 1 категории 2-местный twin;столовая и кафе-бар;лобби- и фито-бар;водно-развлекательный комплекс «Фламинго»;киноконцертный зал;тренажерный зал;библиотека;экскурсии;аниматор и оборудованная детская площадка. Согласно легендам озеро прославилось своими лечебными свойствами ещё в XVI веке благодаря ордам воинов-кочевников. Они же переименовали его с Ачу-Тебис (что с татарского переводится, как «горько-соленый») на Карачи (что означает «черный ил»). Сейчас курорт вмещает до 350 человек и предлагает 162 вида лечебных процедур. Сюда можно приехать для лечения различных заболеваний: эндокринной системы;гинекологической и урологической систем;опорно-двигательного аппарата;нервной системы;сердечно-сосудистой системы и др.",круглосуточно
2,Оздоровление и лечение,Санаторий-профилакторий «Восток»,http://sanvostok.ru/,"Новосибирский район, д. п. Мочище, ул. Снежная, 13","Санаторий-профилакторий «Восток» располагает мощной лечебной базой, необходимой для лечения заболеваний опорно-двигательного аппарата, периферической нервной системы, ЛОР-органов, бронхолегочной, сердечно-сосудистой систем, желудочно-кишечного тракта. Проводится лечение взрослых и детей с 4 лет. Используются методы лечения: массаж; грязе- и глинотерапия; парафиноозокеритолечение; гидротерапия и бальнеотерапия;аппаратная физиотерапия и др. К услугам гостей: комфортные номера категорий ""Стандарт"", ""Люкс"", ""Апартаменты""; спа-центр; диетическое питание; летом — футбольное поле, теннисный корт, волейбольная площадка, летний бассейн (май-сентябрь), терренкур, сауны с бассейном; зимой — каток, лыжная трасса, прокат спортивного инвентаря; дискотеки, концерты, встречи с поэтами, показ кинофильмов, развлекательные программы. в детские заезды работает игровая комната. площадки для отдыха на территории санатория, барбекю, сад камней",круглосуточно
3,Оздоровление и лечение,Санаторий «Парус»,https://www.parusresort.ru/,"Новосибирская область, Новосибирский район, д. п. Кудряшовский, ул. Береговая, 56","PARUS medical resort & SPA — бальнеологический курорт, расположенный в 15 км от центра Новосибирска в окружении соснового бора. К услугам гостей: 157 комфортных номера категорий: «Стандарт», «Стандарт +», «Люкс», «Шале»;питание по типу «шведский стол» в ресторане на 160 человек;лечебные и спа-процедуры, трехэтажный медицинский корпус;4 бассейна;просторная лесопарковая зона для прогулок, 3 банкетных зала;тренажерный зал и прокат спортивного инвентаря.Для детей:досуговый центр;мастер-классы, шоу-программы и игры с аниматором;круглогодичный Терем Мороза Ивановича.В санатории лечат заболевания:сердечно-сосудистой системы;опорно-двигательного аппарата;нервной системы;эндокринной системы;желудочно-кишечного тракта;органов дыхания и ЛОР-органов;кожные;мочеполовой системы;профессиональные заболевания;нарушения сна",круглосуточно
4,Оздоровление и лечение,Спа-отель «Крона»,https://cronahotel.ru/,"Новосибирская область, Бердск, ул. Морская, 26","CRONA Medical & Spa — это уютное место для оздоровления и отдыха. Сосны, море, пение птиц и свежий воздух.Гости могут совместить отдых и лечение по системе «Все включено», приехать всей семьей или с друзьями на несколько дней, организовать корпоративное мероприятие с проживанием, провести незабываемый юбилей или свадьбу. Всегда есть специальные программы.Отдыхающих порадуют:уютное проживание: от стандартных номеров до отдельных кедровых домиков;питание на выбор: шведский стол, ресторан,диетическое питание;новейшая лечебная база;роскошный спа-центр;фитоцентр «ТраваУлей»;аквацентр с бассейном с морской водой;Wi-Fi на всей территории;вечерние программы с живой музыкой;детская анимация;терренкур",круглосуточно
5,Оздоровление и лечение,Санаторий «Рассвет»,https://www.san-rasswet.ru/,"Новосибирская область, Бердск, ул. Зеленая Роща, 9/1","Современная инфраструктура санатория включает все необходимое для достойного отдыха и лечения:комфортабельные номера европейского уровня; от небольших номеров эконом-класса до роскошных люксов и апартаментов;медико-диагностическое отделение с современным оборудованием и авторские медицинские программы;питание в ресторане по системе «шведский стол», включая диетическое;спа-центр, бассейн 25 м, сауна, хаммам, японская баня;благоустроенный пляж, активный отдых (лыжи, снегоход, коньки, велосипеды);детская комната с воспитателем, игровые автоматы, кафе;культурно-развлекательные программы для отдыхающих;оснащенный конференц-зал для конгресс-услуг (вместимость до 80 человек)",круглосуточно
6,Оздоровление и лечение,Санаторий «Сибиряк»,https://spsib.ru/,"Новосибирская область, Бердск, ул. Зеленая Роща, 15","«Сибиряк» — прекрасная возможность почувствовать совершенно новое качество отдыха. Свежий воздух соснового бора на берегу реки Обь, развитая инфраструктура парка 7,5 га, зоопарк, летняя терраса, большая зона проката. Медицинские кабинеты укомплектованы современным высококлассным оборудованием. Разработаны новые эффективные программы оздоровления (позвоночник, сердце, антистресс, снижение веса, реабилитация после COVID-19). К услугам гостей: 5 категорий комфортного размещения от стандарта до дома-студии на реке;ресторан «Лисья нора», а также шведский стол и диетическое меню;детская комната с воспитателем, веселые игры с аниматором, зоопарк;баня, спа-программы;мастер-классы, вечерние программы и дискотеки, увлекательные экскурсии;бесплатный Wi-Fi, надежный сейф для ценных вещей",круглосуточно
7,Оздоровление и лечение,Санаторий «Доволенский»,https://dovolensk.ru/,"Новосибирская область, Доволенский район, с. Довольное","Санаторий расположен на берегу живописного озера Доволенское в березовом массиве. Природные факторы здравницы: «Доволенская» лечебная минеральная вода, сульфидно-иловая грязь, 2 вида глины из Краснозерского района. В санатории лечат заболевания: желудочно-кишечного тракта;опорно-двигательного аппарата;кожные;ЛОР-органов;мочеполовой системы;нервной системы. К услугам гостей:4 спальных корпуса;здоровое питание в столовой и банкетный зал;бассейн;киноконцертный зал;библиотека;пункт проката лыж, коньков, снегоходов, плюшек, велосипедов, самокатов, лодок, катамаранов, мячей для волейбола, наборов для тенниса и др.;детская площадка, детская комната, аниматоры, кружки вязания и рукоделия;пляж и пирс",круглосуточно
8,Оздоровление и лечение,ОРТОС,http://ortos.ru/,"Новосибирская область, Бердск, ул. Морская, 3","«ОРТОС» — крупнейшее в Сибири негосударственное многопрофильное предприятие в области производства и изготовления протезно-ортопедических изделий. Центр использует прогрессивные методы восстановительного лечения пациентов, разрабатывает новые технологии производства протезно-ортопедической продукции, обеспечивает для пациентов условия получения комплексной медицинской помощи. Преимущества для пациентов: возможность получить комплексную диагностику и реабилитацию в экологически чистом месте на берегу Бердского залива в условиях безбарьерной среды.",понедельник-пятница: с 8:00 до 17:00; суббота-воскресенье – выходные дни
9,Оздоровление и лечение,Маслянинский центр,http://vita-msl.ru/,"Новосибирская область, Маслянинский район, р. п. Маслянино, ул. Дорожная, 38","Ухоженная территория круглогодичного комплекса оборудована зонами отдыха и терренкурами. Услуги, включенные в стоимость путевки: проживание, питание, лечебная программа на выбор. В центре лечат заболевания: опорно-двигательного аппарата; верхних дыхательных путей и бронхолегочной системы; цереброваскулярную болезнь с сопутствующей гипертонической болезнью I-II степени, неврастению; сопутствующие (органов пищеварения, сердечно-сосудистой системы). Также к услугам гостей: терренкур «Тропа здоровья» на территории центра; прокат беговых лыж, велосипедов, роликовых коньков; песенные, танцевальные и поэтические вечера, мастер-классы, настольные игры; туристические поездки по Маслянинскому району;посещение бассейна «Фрегат» в поселке Маслянино",круглосуточно
