,Район,Улица,Ссылка
0,Дзержинский,А,https://nsk.ginfo.ru/ulicy/alleya_a/
1,Дзержинский,Авиаконструктора Антонова,https://nsk.ginfo.ru/ulicy/ploschad_aviakonstruktora_antonova/
2,"Дзержинский, Калининский",Авиастроителей,https://nsk.ginfo.ru/ulicy/ulica_aviastroiteley/
3,Дзержинский,Авиационная,https://nsk.ginfo.ru/ulicy/aviacionnaya_ulica/
4,Дзержинский,Автономная ,https://nsk.ginfo.ru/ulicy/avtonomnaya_ulica/
5,Дзержинский,Авторская,https://nsk.ginfo.ru/ulicy/avtorskaya_ulica/
6,"Дзержинский, Октябрьский",Адриена Лежена,https://nsk.ginfo.ru/ulicy/ulica_adriena_lezhena/
7,Дзержинский,Айвазовского,https://nsk.ginfo.ru/ulicy/ulica_ayvazovskogo/
8,"Дзержинский, Центральный",Алейская,https://nsk.ginfo.ru/ulicy/aleyskaya_ulica/
9,Дзержинский,Александра Анцупова,https://nsk.ginfo.ru/ulicy/ulica_aleksandra_ancupova/
10,Дзержинский,Александра Рогулина,https://nsk.ginfo.ru/ulicy/ulica_aleksandra_rogulina/
11,Дзержинский,Алеутская,https://nsk.ginfo.ru/ulicy/aleutskaya_ulica/
12,Дзержинский,Аллейная,https://nsk.ginfo.ru/ulicy/alleynaya_ulica/
13,Дзержинский,Алмазная,https://nsk.ginfo.ru/ulicy/almaznaya_ulica/
14,Дзержинский,Альпийская,https://nsk.ginfo.ru/ulicy/alpiyskaya_ulica/
15,Дзержинский,Альпийский,https://nsk.ginfo.ru/ulicy/alpiyskiy_pereulok/
16,Дзержинский,Амбулаторная,https://nsk.ginfo.ru/ulicy/ambulatornaya_ulica/
17,Дзержинский,Амбулаторный,https://nsk.ginfo.ru/ulicy/ambulatornyy_pereulok/
18,Дзержинский,Антона Осташова,https://nsk.ginfo.ru/ulicy/ulica_antona_ostashova/
19,Дзержинский,Апрельская,https://nsk.ginfo.ru/ulicy/aprelskaya_ulica/
20,Дзержинский,Атлетическая,https://nsk.ginfo.ru/ulicy/atleticheskaya_ulica/
21,Дзержинский,Б,https://nsk.ginfo.ru/ulicy/alleya_b/
22,Дзержинский,Базисная,https://nsk.ginfo.ru/ulicy/bazisnaya_ulica/
23,Дзержинский,Банковец,https://nsk.ginfo.ru/ulicy/st_bankovec/
24,Дзержинский,Барышевская,https://nsk.ginfo.ru/ulicy/baryshevskaya_ulica/
25,Дзержинский,Баскетбольная,https://nsk.ginfo.ru/ulicy/basketbolnaya_ulica/
26,Дзержинский,Биатлонная,https://nsk.ginfo.ru/ulicy/biatlonnaya_ulica/
27,Дзержинский,Биатлонный 1-й,https://nsk.ginfo.ru/ulicy/1-y_biatlonnyy_pereulok/
