,name,uri,address,description,rating,latitude,longitude,restaurant_type,work_time,average_bill,cuisine
0,T.B.K. Lounge,https://www.afisha.ru/novosibirsk/restaurant/tbk-lounge-25625/,"Золотодолинская, 11","T.B.K. Lounge в зеленой зоне Академгородка — визитная карточка ресторатора Дениса Иванова. Загадочная аббревиатура в названии сегодня расшифровывается как «The Best Kitchen», а в советские годы означала «торгово-бытовой комплекс», в здании которого ресторан и расположился. Интерьер — искусная маскировка роскоши под простоту: в окружении декоративных банок с соленьями, икеевских столов под белыми скатертями и соломенных стульев каждый гость, по замыслу создателей, должен почувствовать что-то родное, не забывая при этом, что находится в дорогом ресторане. Меню космополитично и предлагает авторскую интерпретацию блюд французской, русской, итальянской и японской кухонь. Так, в тарелке с морскими гребешками можно обнаружить родной сибирский кабачок, а косулю гриль подают в окружении сосновых шишек. В теплое время года работает одна из лучших веранд в Новосибирске.",9.0346,0.0,0.0,Ресторан,пн-вс 12.00–0.00,1700–3000 рублей,Европейская кухня
1,Beerman & Grill,https://www.afisha.ru/novosibirsk/restaurant/beerman-grill-25624/,"Вокзальная магистраль, 1, Marins Park Hotel Novosibirsk, 1 этаж","Ресторан сети Beerman, расположенный в конгресс-отеле «Новосибирск», определенно, лучшее место в районе железнодорожного вокзала Новосибирск-Главный. Здесь легко можно встретить иностранцев и деловых туристов, но горожане тоже с удовольствием ходят сюда, зная толк в кухне Дениса Иванова. Каждое заведение сети имеет свою отличительную особенность, специфика этого Beerman, как ясно из названия, блюда на гриле. В огромном меню толщиной с рекламный каталог есть и суши с том-ямом, и пельмени с кулебякой, и узбекский плов, и, например, фирменный суп Beerman с охотничьими колбасками и квашеной капустой, который подается в бородинском хлебе. Ресторанная империя Иванова славится еще и своим производством, поэтому здесь вам предложат фирменные настойки, фирменное варенье к чаю и даже фирменное вино. Гостям города непременно стоит купить в качестве сувенира местных же вареников или пельменей, например черных — с чернилами каракатицы.",8.6417,55.0353733,82.9014225,Пивной ресторан,пн-вс 12.00–2.30,700–1700 рублей,"Европейская кухня, Паста, Пельмени, Русская кухня, Стейки, Суши, Сэндвичи, Шашлыки, Японская кухня"
2,Ассоль,https://www.afisha.ru/novosibirsk/restaurant/assol-15938/,"Комсомольский просп., 24",,6.0,0.0,0.0,Столовая,пн-пт 8.00–18.00,До 700 рублей,Русская кухня
3,Рэсторани,https://www.afisha.ru/novosibirsk/restaurant/restorani-487612/,"Советская, 20",,0.0,55.0318272,82.9163187,Ресторан,пн-вс 12.00–23.00,700–1700 рублей,"Грузинская кухня, Хачапури, Хинкали"
4,Рюмки,https://www.afisha.ru/novosibirsk/restaurant/riumki-494486/,"Народная, 1",,0.0,55.0633544,82.9361323,Бар,"пн-чт, вс 12.00–0.00, пт-сб 12.00–2.00",700–1700 рублей,"Американская кухня, Бургеры, Европейская кухня, Стейки"
5,Coffee Collective Brew Bar,https://www.afisha.ru/novosibirsk/restaurant/coffee-collective-brew-bar-454670/,"Морской просп., 22",,0.0,0.0,0.0,Кофейня,"пн-пт 7.30–22.30, сб-вс 8.00–22.30",До 700 рублей,Европейская кухня
6,Kannam Chicken,https://www.afisha.ru/novosibirsk/restaurant/kannam-chicken-487604/,"Троллейная, 130а, ТРЦ «Континент»",,0.0,54.9664239,82.8530149,Ресторан,пн-вс 10.00–22.00,До 700 рублей,"Корейская кухня, Суши, Японская кухня"
7,Kebab Grill,https://www.afisha.ru/novosibirsk/restaurant/kebab-grill-312906/,"Фрунзе, 238, ТРЦ «Сибирский молл», 1 этаж",,0.0,0.0,0.0,Ресторан,пн-вс 10.00–22.00,До 700 рублей,"Турецкая кухня, Узбекская кухня"
8,KFC,https://www.afisha.ru/novosibirsk/restaurant/kfc-35233/,"Красный просп., 29",,0.0,0.0,0.0,Фастфуд,круглосуточно,До 700 рублей,"Американская кухня, Бургеры, Сэндвичи"
9,Veggy,https://www.afisha.ru/novosibirsk/restaurant/veggy-496531/,"Урицкого, 36",,0.0,55.0313787,82.912563,Ресторан,пн-вс 10.00–22.00,700–1700 рублей,"Вегетарианское меню, Здоровое питание"
