,name,address,price_per_night
0,Гостиничный Комплекс 55 Широта,"улица Дениса Давыдова, д.1/3, Новосибирск",от 3000₽
1,Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka,"улица Победы, д.55, Новосибирск",от 5351₽
2,Мини-отель Роял Марин,"микрорайон Северный, д.1/1, Бердск",от 3466₽
3,Хостел Why not Hostel Novosibirsk,"Вокзальная магистраль, д. 6, Новосибирск",от 1961₽
4,Хостел City,"улица Блюхера, д.24, Новосибирск",от 1300₽
5,Отель Домина Новосибирск,"улица Ленина, д.26, Новосибирск",от 7100₽
6,Мини-отель Ной,"улица Карла Маркса, д.100, Барабинск",от 3403₽
7,Лель Купино,"ул. Элеваторская, д 50, Купино",от 1786₽
8,Парк-Отель Чкаловские дачи,"д.п. Мочище м-н дом отдыха Мочище 4, Новосибирск, Новосибирская обл., Россия, 630534, Новосибирск",от 5936₽
9,Welcome (Вэлком) на улице Жемчужная 32,"Академгородок, ул. Жемчужная, 32",от 4675₽
10,Отель Гранд Автограф (бывший Марриотт),"улица Орджоникидзе, 31, Новосибирск",от 10485₽
