,name,address,description
0,«Первый театр»,"Ленина, 24, Новосибирск","Развлечение с названием '«Первый театр»'. Адрес: Ленина, 24 Стоимость билетов: от 400 р «Первый театр» появился на свет в 2008 году, «крёстным отцом» нового коллектива стал Сергей Афанасьев, художественным руководителем — молодой режиссер Павел Южаков, — выпускники их курса Новосибирского театрального институт составили труппу. А уже через год «Первый театр» получил статус областного. Сегодня «Первый» — это первый театр в профессиональной творческой судьбе многих выпускников театрального института: актёров и молодых режиссёров. Бывает, что вчерашний студент выходит на сцену в главной роли. «Первый театр» был и остаётся настоящей стартовой площадкой для молодых талантов. Репертуар театра разнообразен: спектакли ставят режиссёры разных театральных школ и направлений, в афише как постановки зарубежной классики и советской драматургии, так и остросовременного, нового по форме и содержанию материала. «Первый театр» много экспериментирует с новыми формами: в классическом спектакле звучит реп, в современном – стендап, в этом сезоне в афише появился спектакль-променад, первый в Новосибирске. АФИША Читайте также: Лучшие театры Новосибирска по версии «Золотой маски» . График работы '«Первый театр»': необходимо уточнить. Категория отдыха '«Первый театр»': Театры. «Первый театр» располагается в районе: Железнодорожный, Центральный, Центральный, г. Новосибирск"
1,Интегральный музей-квартира повседневности Академгородка,"ул. Правды, 4, Новосибирск","Развлечение с названием 'Интегральный музей-квартира повседневности Академгородка'. Адрес: ул. Правды, 4 Частный проект Анастасии Безносовой-Близнюк и Александра Степанова, расположен в доме постройки 60-х годов в Новосибирском Академгородке на ул. Правды. Интерьер музея оформлен в стиле квартиры 60-х годов, где все предметы можно потрогать, испытать в действии, гости могут выпить чая из стаканов в подстаканниках, послушать, как звучит патефон, полистать подшивки старых журналов, примерить ретро-наряды. В коллекции музея представлены артефакты, имеющие отношение к клубу «Под Интегралом» и времени становления Академгородка, вещи Второй мировой войны, дореволюционные книги и дамские аксессуары, старинные предметы интерьера. Особенностью музея является не только теплая атмосфера, которая окружает гостей с порога квартиры, но и большое количество мини-коллекций на любой вкус: фототехника, образцы рукоделия, швейные и пишущие машинки, музыкальные инструменты и аппаратура, кухонные приборы и посуда, парфюмерия и косметика, примеры игр и виды хобби советского периода, школьная, медицинская, художественная атрибутика, спортивное снаряжение и предметы повседневного быта представлены далеко не в единичных экземплярах. Проводятся тематические экскурсии: ​ История создания научного центра и его первопоселенцы; Культурная и общественная жизнь Академгородка в период Оттепели, легендарный клуб «Под Интегралом» Предметы быта и интерьера молодых ученых, история повседневности; Семейные реликвии, переданные в музей и найденные выброшенными; История моды ХХ века и винтажные наряды жителей Академгородка; «Поколение победителей» – история Второй мировой войны. . График работы 'Интегральный музей-квартира повседневности Академгородка': по предварительному звонку: пн-вс. Категория отдыха 'Интегральный музей-квартира повседневности Академгородка': Академгородок. Интегральный музей-квартира повседневности Академгородка располагается в районе: Советский, г. Новосибирск"
2,Храм в честь иконы Божией Матери «Знамение-Абалацкая»,"ул. Богдана Хмельницкого, 74, Новосибирск","Развлечение с названием 'Храм в честь иконы Божией Матери «Знамение-Абалацкая»'. Адрес: ул. Богдана Хмельницкого, 74 Приход в честь иконы Божией Матери «Знамение-Абалацкая» был создан по благословению Управляющего Новосибирской епархией епископа Тихона в 1992 году. В 1994 году, епископом Тихоном был освящен закладной камень на месте будущего храма. 19 мая 1999 года, на Вознесение Господне, была совершена первая Литургия в нижнем храме во имя Праведного Иоанна Русского, исповедника, а 10 декабря 1999 года, в престольный праздник, — в главном храме. Храм создавался по проекту архитектора П.А. Чернобровцева, при деятельном участии первого настоятеля иерея (ныне — протоиерея) Андрея Федорова. Большое участие в строительстве храма приняли администрации Новосибирской области, города Новосибирска, Калининского района, многие предприятия и частные предприниматели, прихожане, но наибольший вклад внес ныне покойный директор Новосибирского завода химконцентратов А.И. Белосохов. В память о главном строителе и благотворителе у стен Знаменского храма разбит Александровский сквер. 25 июля 2000 года епископом Сергием (Соколовым) был совершен чин полного освящения храма. Главный храм освящен в честь иконы Божией Матери «Знамение-Абалацкая», нижний храм – во имя святого Праведного Иоанна Русского, исповедника. В храме находятся чтимые святыни, иконы с частицами мощей и отдельные ковчежцы с частицами мощей угодников Божиих, святых: апостола Андрея Первозванного, святителя Николая Чудотворца, преподобного Сергия Радонежского, священномученика Владимира, митрополита Киевского, святителя Филарета Московского, святителя Иннокентия Московского, святителя Иоанна Тобольского, благоверного и великого князя Александра Невского; святых отцов Киево-Печерских: священномученика Лукиана, преподобного Агапита врача, преподобного Алипия иконописца, преподобного Моисея Угрина, преподобного Иосифа многоболезненного, преподобного Феофила, Христа ради юродивого; святого праведного Иоанна Русского, исповедника. Совершить виртуальный храм по храму в честь иконы Божией Матери «Знамение-Абалацкая» можно по ссылке. . График работы 'Храм в честь иконы Божией Матери «Знамение-Абалацкая»': 8:00-19:00. Категория отдыха 'Храм в честь иконы Божией Матери «Знамение-Абалацкая»': Церкви и храмы. Храм в честь иконы Божией Матери «Знамение-Абалацкая» располагается в районе: Заельцовский, Калининский, г. Новосибирск"
3,Музыкальное пространство «Крыша»,"ул. Нарымская, 25, Новосибирск","Развлечение с названием 'Музыкальное пространство «Крыша»'. Адрес: ул. Нарымская, 25, Новосибирск Крыша — это музыкальное пространство, цех по производству и продвижению аудио/видео контента. Здесь проходят лекции, мастер-классы, творческие встречи, репетиции и концерты как известных групп, так и начинающих многообещающих коллективов. . График работы 'Музыкальное пространство «Крыша»': Пн-Вс 10:00-22:00. Категория отдыха 'Музыкальное пространство «Крыша»': Арт-пространства и лофты. Музыкальное пространство «Крыша» располагается в районе: Железнодорожный, г. Новосибирск"
4,Лофт-парк «Подземка»,"Красный проспект, 161, Новосибирск","Развлечение с названием 'Лофт-парк «Подземка»'. Адрес: Красный проспект, 161 - цокольный этаж Лофт-Парк Подземка –– арт-пространство и главная концертная площадка Сибири, на которой проводится 90% всех концертов в регионе. Лофт- парк располагается на острие одного из основных транспортных узлов Новосибирска, в двух минутах ходьбы от станции метро Заельцовская. Все началось в 1988 году, когда в Новосибирске начали строить станцию метро «Заельцовская»,а вместе с ней монолитный железобетонный лоток и стены тупиков. Строили открытым методом и по окончании строительства нужно было что-то делать с оставшейся пустотой. Было решено возвести над ней бетонный купол. В связи с неблагоустроенностью пространства, идея подземного зала трансформировалась в идею открытия торгового центра «Белый Молл», которую из-за сложностей пространства также отменили. Подземка пустовала 28 лет и пользовалось популярностью у диггеров, как одно из самых больших заброшенных пространств города, пока в 2016 году группа креативных ребят не решила провести самую большую в Сибири вечеринку в честь Halloween – с этого и началась история Подземки, и всего за несколько лет своего существования площадка заняла статус самого популярного места Новосибирска. В Подземке выступали такие артисты как Children of Bodom, Lindemann, The Exploited, Pain, Eskimo Callboy, Attila, Adept, Mayhem, OOMPH!, КАСТА, Lumen, MORGENSHTERN,Элджей, ANACONDAZ, HammAli & Navai, Feduk, Pharaon, Noize MC и другие крупнейшие артисты со всего мира. Историческая справкаПодземка пустовала 28 лет и пользовалось популярностью у диггеров как одно из самых больших заброшенных пространств города, пока в 2016 году группа креативных ребят не решила провести самую большую в Сибири вечеринку в честь Halloween – с этого и началась история Подземки, и всего за несколько лет своего существования площадка заняла статус самого популярного места Новосибирска. . График работы 'Лофт-парк «Подземка»': Ежедневно 10:00-22:00. Категория отдыха 'Лофт-парк «Подземка»': Концертные залы и филармония. Лофт-парк «Подземка» располагается в районе: Заельцовский, г. Новосибирск"
5,Многофункциональная ледовая арена «Сибирь-Арена»,"ул. Немировича-Данченко, 160, Новосибирск","Развлечение с названием 'Многофункциональная ледовая арена «Сибирь-Арена»'. Адрес: ул. Немировича-Данченко, 160 Ледовое шоу Татьяны Навки «История любви Шахерезады» Новый спортивный комплекс на берегу реки Обь. Общая площадь территории – 12 га. Вместимость 10 587 зрителей Общая площадь помещений – 72 173 кв. м. Этажность – 6. Высота сооружения – 38  м. Домашняя площадка ХК «Сибирь», Новосибирск. Хоккейная площадка ледовой арены предусматривает максимальную универсальность. Она может трансформироваться, от стандартного размера 60 х 30 м до «финского» – 28 х 60  м. Зрительская часть и арена в целом смогут принять не только хоккейные матчи и соревнования на льду, но и многие концертные и зрелищные мероприятия, даже Цирк дю Солей. Сибирь-Арена полностью приспособлена для маломобильных групп населения, как спортсменов, так и зрителей. . График работы 'Многофункциональная ледовая арена «Сибирь-Арена»': необходимо уточнить. Категория отдыха 'Многофункциональная ледовая арена «Сибирь-Арена»': Стадионы. Многофункциональная ледовая арена «Сибирь-Арена» располагается в районе: Кировский, г. Новосибирск"
6,Храм Успения Пресвятой Богородицы,"ул. Гоголя, 179, Новосибирск","Развлечение с названием 'Храм Успения Пресвятой Богородицы'. Адрес: ул. Гоголя, 179 История храма началась в 1925 году, когда на городском кладбище была построена деревянная церковь. Среди похороненных в церковной ограде православных были протоиерей Диомид Чернявский и Владыка Никифор – митрополит Новосибирской епархии. Храм Успения Пресвятой Богородицы просуществовал до 1962 года и был разобран солдатами и добровольцами из народа против воли прихожан. На его месте построили Дом культуры «Строитель». Современное здание храма Успения Пресвятой Богородицы на Березовой Роще возведено в 1995-1999 годах. В новом кирпичном храме с тремя главками на двускатной кровле функционирует община во имя мученика Вонифатия, зарегистрированная в 1992 году. Ранее это был недостроенный павильон, расположенный в ПКИО «Берёзовая Роща». . График работы 'Храм Успения Пресвятой Богородицы': 8:00-19:00. Категория отдыха 'Храм Успения Пресвятой Богородицы': Церкви и храмы. Храм Успения Пресвятой Богородицы располагается в районе: Дзержинский, г. Новосибирск"
7,Памятник продавцу и покупателю,"Мичурина, 12, Новосибирск","Развлечение с названием 'Памятник продавцу и покупателю'. Адрес: улица Мичурина, 12 к 6 Новосибирский центральный рынок – единственный в России, украшенный памятником-скульптурой работникам уличной торговли. Памятник продавцу и покупателю (или, как его еще называют памятник уличной торговке) родился из жизненного сюжета: жизнерадостная полная женщина в фартуке предлагает мужчине в ушанке свой товар: семечки (а может, кедровые орешки, которыми славится Сибирь, и цветы. А маленькая собачка, пользуясь моментом, вытягивает из сумки покупателя связку сосисок. Конечно, идея лежит на поверхности, хоть и воплощена в безобидную собачку: совершая покупки на рынке, будьте особо бдительны! Если будете рядом, обязательно проверьте карманы торговки — если там пусто, надо положить первую монетку. Памятник появился в 118-й день рождения Новосибирска, 26 июня 2011 года, возле Центрального рынка. Автор — Эдуард Добровольский. Где находится: пересечение улиц Крылова и Каменская, со стороны торгового центра «Москва». Как добраться: пешком от станции «Красный проспект» или «Сибирская», а также от автобусной остановки «Центральный рынок». . График работы 'Памятник продавцу и покупателю': необходимо уточнить. Категория отдыха 'Памятник продавцу и покупателю': Памятники, арт-объекты. Памятник продавцу и покупателю располагается в районе: Центральный, г. Новосибирск"
8,Музей Олимпийской славы Новосибирской области,"ул. Немировича-Данченко, 160, Новосибирск","Развлечение с названием 'Музей Олимпийской славы Новосибирской области'. Адрес: ул. Немировича-Данченко, 160 (Сибирь-Арена) Стоимость билетов: бесплатно, экскурсии 150 - 1000 руб. Фонды музея составляют около 7 000 единиц хранения. Среди экспонатов — кубки, медали, грамоты, предметы экипировки сибирских чемпионов Александра Тихонова, Станислава Позднякова, Александра Карелина, Евгения Подгорного, Виктора Маркина и многих других. Музей располагает богатой коллекцией флагов советских спортивных обществ: «Урожай», «Динамо», «Зенит», «Трудовые резервы», «Буревестник» и пр. Особый интерес представляют предметы из фонда Г.И. Чекиса, фронтовика, абсолютного чемпиона РСФСР по гимнастике 1950 года. Из последних поступлений музея наиболее интересны экспонаты, связанные с зимними Олимпийскими играми в Сочи в 2014 г. . График работы 'Музей Олимпийской славы Новосибирской области': ср-вск 12:00-21:00, экскурсии по записи. Категория отдыха 'Музей Олимпийской славы Новосибирской области': Музеи и галереи. Музей Олимпийской славы Новосибирской области располагается в районе: Кировский, г. Новосибирск"
9,Региональный центр волейбола «Локомотив-Арена»,"ул. Ипподромская, 18, Новосибирск","Развлечение с названием 'Региональный центр волейбола «Локомотив-Арена»'. Адрес: ул. Ипподромская, 18 «Локомотив-Арена» ‒ это один из крупнейших региональных центров волейбола за Уралом! Центр был открыт 3 октября 2020 года и отвечает всем стандартам для проведения крупнейших российских, европейских и международных соревнований. Помимо этого, спорткомплекс может принимать не только спортивные соревнования, но и любые культурно-массовые мероприятия. 20 тысяч кв.м ‒ площадь арены 5580 человек ‒ вместимость большой арены 600 человек ‒ вместимость тренировочной арены 700 машиномест ‒ вместимость парковки на территории спорткомплекса Также на «Локомотив-Арене» действует музей истории волейбольного клуба «Локомотив-Новосибирск». . График работы 'Региональный центр волейбола «Локомотив-Арена»': 09:00-18:00. Категория отдыха 'Региональный центр волейбола «Локомотив-Арена»': Концертные залы и филармония. Региональный центр волейбола «Локомотив-Арена» располагается в районе: Центральный, г. Новосибирск"
