,Unnamed: 0,name,address,description,longitude,latitude
0,0,Гостиничный Комплекс 55 Широта,"улица Дениса Давыдова, д.1/3, Новосибирск","Гостиничный Комплекс 55 Широта по адресу улица Дениса Давыдова, д.1/3, Новосибирск. Минимальная стоимость в отеле 'Гостиничный Комплекс 55 Широта' за ночь: от 3000₽",82.961833,55.070046
1,1,AHOTELS Design Style Толстого,"Улица Толстого, д.56, Новосибирск","AHOTELS Design Style Толстого по адресу Улица Толстого, д.56, Новосибирск. Минимальная стоимость в отеле 'AHOTELS Design Style Толстого' за ночь: от 2614₽",82.941908,55.020255
2,2,Апарт-отель Apartel,"Железнодорожная улица, д.15/1, Новосибирск","Апарт-отель Apartel по адресу Железнодорожная улица, д.15/1, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель Apartel' за ночь: от 2721₽",82.904925,55.047028
3,3,Гостиница Комфорт_Нск,"Улица Богдана Хмельницкого, д.96, Новосибирск","Гостиница Комфорт_Нск по адресу Улица Богдана Хмельницкого, д.96, Новосибирск. Минимальная стоимость в отеле 'Гостиница Комфорт_Нск' за ночь: от 4150₽",82.979242,55.094678
4,4,Отель ESENIN-LocuS,"улица Есенина, д.5/1, Новосибирск","Отель ESENIN-LocuS по адресу улица Есенина, д.5/1, Новосибирск. Минимальная стоимость в отеле 'Отель ESENIN-LocuS' за ночь: от 2700₽",82.994927,55.050901
5,5,Отель Глобус,"улица Лермонтова, д. 43, корп. 1, Новосибирск","Отель Глобус по адресу улица Лермонтова, д. 43, корп. 1, Новосибирск. Минимальная стоимость в отеле 'Отель Глобус' за ночь: от 3506₽",82.92511,55.045434
6,6,Хостел Рус-Новосибирск,"улица Куприна, д.8/1, Новосибирск","Хостел Рус-Новосибирск по адресу улица Куприна, д.8/1, Новосибирск. Минимальная стоимость в отеле 'Хостел Рус-Новосибирск' за ночь: от 1677₽",82.990606,55.043634
7,7,Отель Император,"улица Романова, д.99, Новосибирск","Отель Император по адресу улица Романова, д.99, Новосибирск. Минимальная стоимость в отеле 'Отель Император' за ночь: от 2814₽",82.942771,55.037128
8,8,Отель Клуб Путешественников,"улица Фрунзе 2А, Новосибирск","Отель Клуб Путешественников по адресу улица Фрунзе 2А, Новосибирск. Минимальная стоимость в отеле 'Отель Клуб Путешественников' за ночь: от 2152₽",82.916747,55.035828
9,9,No Bears (Ноу Беарс),"ул. Дмитрия Шамшурина, 1, Новосибирск","No Bears (Ноу Беарс) по адресу ул. Дмитрия Шамшурина, 1, Новосибирск. Минимальная стоимость в отеле 'No Bears (Ноу Беарс)' за ночь: от 2260₽",82.903748,55.028682
10,10,Апарт-Отель OAZIS APART,"улица Лескова, д.25, Новосибирск","Апарт-Отель OAZIS APART по адресу улица Лескова, д.25, Новосибирск. Минимальная стоимость в отеле 'Апарт-Отель OAZIS APART' за ночь: от 2950₽",82.953461,55.025338
11,11,Отель Метелица,"улица Добролюбова, д.195, Новосибирск","Отель Метелица по адресу улица Добролюбова, д.195, Новосибирск. Минимальная стоимость в отеле 'Отель Метелица' за ночь: от 5750₽",82.978003,55.028816
12,12,Отель Перекресток,"Фабричная улица, 4/1, Новосибирск","Отель Перекресток по адресу Фабричная улица, 4/1, Новосибирск. Минимальная стоимость в отеле 'Отель Перекресток' за ночь: от 3322₽",82.922577,55.015692
13,13,Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka,"улица Победы, д.55, Новосибирск","Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka по адресу улица Победы, д.55, Новосибирск. Минимальная стоимость в отеле 'Апарт-Отель Ramada hotel&suites by Wyndham Novosibirsk Zhukovka' за ночь: от 5351₽",82.878748,55.067654
14,14,Отель Tolstogo City,"улица Толстого, д.77, Новосибирск","Отель Tolstogo City по адресу улица Толстого, д.77, Новосибирск. Минимальная стоимость в отеле 'Отель Tolstogo City' за ночь: от 3400₽",82.947101,55.019155
15,15,Аврора,"ул. Панфиловцев, д. 53, Новосибирск","Аврора по адресу ул. Панфиловцев, д. 53, Новосибирск. Минимальная стоимость в отеле 'Аврора' за ночь: от 2396₽",82.988252,55.02058
16,16,Мини-отель ЕВРОСАУНА,"улица Мира, д.63А, корп.4, Новосибирск","Мини-отель ЕВРОСАУНА по адресу улица Мира, д.63А, корп.4, Новосибирск. Минимальная стоимость в отеле 'Мини-отель ЕВРОСАУНА' за ночь: от 2476₽",82.92484,54.964391
17,17,Лель,"ул. Кутузова, д.69, Карасук","Лель по адресу ул. Кутузова, д.69, Карасук. Минимальная стоимость в отеле 'Лель' за ночь: от 1600₽",78.058002,53.729809
18,18,Мини-отель Мадо,"улица Светлановская, д. 8, Новосибирск","Мини-отель Мадо по адресу улица Светлановская, д. 8, Новосибирск. Минимальная стоимость в отеле 'Мини-отель Мадо' за ночь: от 2627₽",82.914779,55.072443
19,19,Диван и чемодан на Ленина,"ул. Ленина, 79, Новосибирск","Диван и чемодан на Ленина по адресу ул. Ленина, 79, Новосибирск. Минимальная стоимость в отеле 'Диван и чемодан на Ленина' за ночь: от 2051₽",82.895277,55.038975
20,20,Отель Хлебный год,"Советское шоссе, д.7, Новосибирск","Отель Хлебный год по адресу Советское шоссе, д.7, Новосибирск. Минимальная стоимость в отеле 'Отель Хлебный год' за ночь: от 4282₽",82.952571,54.922446
21,21,Гостевой Дом Маяк,"улица Плотинная, д.1/1, Новосибирск","Гостевой Дом Маяк по адресу улица Плотинная, д.1/1, Новосибирск. Минимальная стоимость в отеле 'Гостевой Дом Маяк' за ночь: от 4145₽",83.038405,54.841812
22,22,Гостиница Золотое Руно,"улица Зыряновская, д.55, Новосибирск","Гостиница Золотое Руно по адресу улица Зыряновская, д.55, Новосибирск. Минимальная стоимость в отеле 'Гостиница Золотое Руно' за ночь: от 4510₽",82.93748,55.011717
23,23,Мини-отель Роял Марин,"микрорайон Северный, д.1/1, Бердск","Мини-отель Роял Марин по адресу микрорайон Северный, д.1/1, Бердск. Минимальная стоимость в отеле 'Мини-отель Роял Марин' за ночь: от 3466₽",83.095862,54.774203
24,24,Квартиры Sibkvart Добролюбова 18/1,"улица Добролюбова, д.18/1, Новосибирск","Квартиры Sibkvart Добролюбова 18/1 по адресу улица Добролюбова, д.18/1, Новосибирск. Минимальная стоимость в отеле 'Квартиры Sibkvart Добролюбова 18/1' за ночь: от 3341₽",82.952895,55.009967
25,25,Хостел Why not Hostel Novosibirsk,"Вокзальная магистраль, д. 6, Новосибирск","Хостел Why not Hostel Novosibirsk по адресу Вокзальная магистраль, д. 6, Новосибирск. Минимальная стоимость в отеле 'Хостел Why not Hostel Novosibirsk' за ночь: от 1961₽",82.904925,55.033476
26,26,Отель Акватория,"Улица Ватутина, д. 16/1, Новосибирск","Отель Акватория по адресу Улица Ватутина, д. 16/1, Новосибирск. Минимальная стоимость в отеле 'Отель Акватория' за ночь: от 2192₽",82.886743,54.987291
27,27,Отель Авеню,"улица Советская, д.57, Новосибирск","Отель Авеню по адресу улица Советская, д.57, Новосибирск. Минимальная стоимость в отеле 'Отель Авеню' за ночь: от 2327₽",82.913935,55.033481
